index	タイトル	2023-08-08	2023-08-09	2023-08-10	2023-08-11	2023-08-12	2023-08-13	2023-08-14	2023-08-15	2023-08-16	2023-08-17	2023-08-18	2023-08-19	2023-08-20	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20
https://youtu.be/z58_bAhiWcc	松浦亜弥「GOOD BYE 夏男」				16660	30630	38905	45755	53522	62509	69647	75739	82102	89295	95734	103551	105328	109872	114543	119067	123140	126402	129789	133003	136071	139919	143596	147496	150614	153565	156717	159674	162379	165171	167824	170058	172432	174885	177211	179550	181966	184316	186503	188578	190677
https://youtu.be/JSzISK4PNic	藤本美貴「会えない長い日曜日」				10310	17778	21652	24440	27415	31390	34483	37090	40701	43542	46088	49299	50207	52240	54494	56995	59113	60808	62696	64546	66146	68135	70103	72110	73734	75393	77174	78926	80500	82175	83626	85126	86915	88501	90098	91483	93034	94308	95428	96606	97913
https://youtu.be/Zy2QNksVkyo	藤本美貴「置き手紙」				3914	6348	7540	8393	9202	9998	10490	10869	11289	11597	11858	12210	12281	12491	12730	12910	13109	13263	13429	13626	13753	13948	14106	14298	14454	14597	14727	14849	14967	15116	15264	15391	15513	15650	15793	15955	16043	16168	16339	16500	16622
https://youtu.be/UmxFhFbyQF8	松浦亜弥「THE LAST NIGHT」				2270	3760	4596	5266	5809	6399	6867	7223	7579	7908	8145	8496	8575	8809	9010	9214	9393	9534	9694	9864	10012	10210	10391	10577	10735	10890	11021	11149	11268	11367	11508	11640	11761	11859	11958	12076	12203	12317	12400	12486	12551
https://youtu.be/BeXYdffrqyg	藤本美貴「ブギートレイン'03オースリー)」				21143	34817	41523	47206	54394	62178	68405	73018	77805	81955	85691	90375	91642	94684	97689	100795	103575	106022	108644	111436	114053	117196	120454	123313	125860	128333	130710	132901	135020	137349	139652	141884	143940	146160	148091	150168	152589	154813	156797	158686	160403
https://youtu.be/cD6me0aRLRE	松浦亜弥「YOUR SONG ~青春宣誓~」				1918	3360	4144	4921	5711	6325	6733	7088	7439	7730	7983	8308	8404	8588	8801	8967	9131	9302	9475	9631	9775	9988	10178	10340	10477	10620	10781	10938	11078	11207	11352	11451	11587	11703	11807	11949	12071	12166	12267	12354	12441
https://youtu.be/h6SM-Xphmmo	松浦亜弥「チョコレート魂」				5157	8683	10756	12401	13871	15104	15930	16549	17229	17856	18310	18874	19013	19436	19818	20123	20368	20593	20883	21131	21396	21734	22015	22277	22517	22731	22942	23146	23337	23521	23740	23915	24108	24295	24498	24680	24825	24964	25092	25230	25343
https://youtu.be/M_jQTcbLB8o	藤本美貴「ボーイフレンド」				7862	13008	16034	18175	20208	22503	24436	25890	27530	28990	30137	31594	31891	32830	33775	34604	35477	36179	36918	37688	38380	39278	40154	40939	41801	42437	42991	43546	44147	44766	45394	45942	46531	47140	47712	48319	48929	49484	49980	50480	50903
https://youtu.be/z-ApZFvjVbE	松浦亜弥「ドッキドキ!LOVEメール」				18125	29011	34312	38288	42800	48865	53791	57867	62841	67412	71425	77231	78590	82014	85430	88910	92185	94828	97652	100560	103609	107346	110942	114592	117573	120722	123648	126622	129522	132518	135724	138496	141340	144351	147229	150144	153241	156128	158866	161352	163958
https://youtu.be/IIj6RlHtS9w	松浦亜弥「♡桃色片想い♡」				28415	48232	57025	64283	73063	82882	92618	101668	111366	120420	127276	136401	138564	144165	150229	156419	162913	168679	174571	180155	186005	194058	202070	210770	218467	225404	232866	240494	248530	256407	264717	271626	278614	286562	293432	300799	308746	316810	324282	331250	338511
